#         t          x          y          z         vx         vy         vz
      5.071    -12.640    248.110     19.090     37.000    -80.070     14.590
      5.143     -9.850    242.110     19.910     36.850    -88.500      5.160
      5.214     -7.410    235.550     19.960     29.930    -92.830     -6.110
      5.286     -5.130    228.930     18.960     32.290    -89.500    -19.830
      5.357     -2.720    222.390     17.430     36.910    -89.560    -23.520
      5.429     -0.190    215.530     15.880     37.290    -98.980    -21.080
      5.500      2.320    207.900     14.410     35.760   -113.130    -18.350
      5.571      4.720    199.280     13.120     32.340   -129.950    -15.760
      5.643      6.730    189.100     11.690     24.210   -151.520    -20.350
      5.714      7.980    177.410      9.810     10.920   -174.890    -32.400
      5.786      8.140    163.170      6.920    -11.860   -222.740    -49.690
      5.857      4.220    144.620      1.560   -171.750   -232.820    -87.660
      5.929     -4.430    135.210     -0.780    -81.190    -73.050    -13.940
      6.000     -6.940    132.120     -0.140     24.730    -35.430     24.110
      6.071     -5.020    131.690      2.050     78.950     -0.040     48.380
      6.143      0.170    133.570      5.150    125.470     42.330     72.750
      6.214      8.390    138.400      9.760    192.180    137.000    118.530
      6.286     15.650    143.160     16.030     27.020    -55.420      1.530
      6.357     22.950    139.800     18.400     41.650    -50.450     22.690
      6.429     25.820    137.670     20.390     41.480    -27.040     18.330
      6.500     28.900    136.740     22.440     42.430    -20.520     21.860
      6.571     31.590    135.050     24.010     41.790    -31.170     21.670
      6.643     34.760    133.220     26.750     39.720    -23.330     33.980
      6.714     37.690    131.500     29.870     37.970    -25.970     33.900
      6.786     40.120    129.360     32.020     43.480    -27.640     40.330
      6.857     43.100    127.200     34.520     41.380    -30.910     28.540
      6.929     46.560    122.800     37.420     42.020    -31.290     24.070
      7.000     49.350    120.630     39.070     37.410    -28.810     22.490
      7.071     52.410    119.020     40.690     37.990    -23.270     30.240
      7.143     55.190    117.370     42.450     33.090    -21.450     20.970
      7.214     57.670    115.680     43.760     36.460    -24.670     22.220
      7.286     60.280    114.020     45.350     32.320    -27.300     21.500
      7.357     62.790    112.070     47.030     30.530    -26.070     22.820
      7.429     65.250    110.380     48.920     30.310    -24.040     26.970
      7.500     67.530    108.650     50.730     29.540    -25.230     24.580
      7.571     69.580    106.590     52.530     28.090    -27.910     23.540
      7.643     71.500    104.590     54.100     30.750    -25.530     30.240
      7.714     73.660    102.950     55.840     28.070    -21.780     25.610
      7.786     75.390    101.250     57.130     28.620    -20.980     18.810
      7.857     77.240    100.240     58.190     30.190    -16.840     18.870
      7.929     79.470     99.190     59.300     32.890    -20.190     18.240
      8.000     81.750     97.900     60.600     36.390    -16.900     21.720
      8.071     84.300     96.970     62.220     37.310    -17.410     23.040
      8.143     86.810     96.000     63.650     37.950    -19.830     22.980
      8.214     89.550     94.640     65.770     37.710    -17.160     29.690
      8.286     92.540     93.440     68.230     40.830    -17.010     35.230
      8.357     95.110     92.290     70.420     40.440    -23.280     38.950
      8.429     98.030     90.600     73.020     37.800    -23.010     37.160
      8.500    100.450     89.100     75.070     34.590    -25.190     32.590
      8.571    103.050     87.310     77.270     32.650    -24.990     26.240
      8.643    105.450     85.650     79.170     32.710    -25.730     26.810
      8.714    108.070     83.720     81.020     31.620    -25.690     20.140
      8.786    110.130     81.870     82.600     27.080    -27.660     14.560
      8.857    112.280     79.910     84.120     33.220    -25.990     18.940
      8.929    114.640     77.940     85.770     32.940    -26.060     21.990
      9.000    116.980     76.180     87.340     31.140    -24.310     20.370
      9.071    118.920     74.070     88.660     29.270    -24.380     20.200
